method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
GET,/api/reports/documents/invoice/:orderNumber,server.ts:1593,reportService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/reports/documents/manifest,server.ts:1606,reportService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/reports/export/:type,server.ts:1616,reportService,,src/admin/ReportsAdmin.tsx,n,-,WIRED
GET,/api/print/settings,server.ts:1634,,,src/components/print/BulkPrintModal.tsx | src/components/print/PrintSettingsPanel.tsx | src/components/print/ReturnRefundPrintModal.tsx,n,-,WIRED
PUT,/api/print/settings,server.ts:1642,,,src/components/print/BulkPrintModal.tsx | src/components/print/PrintSettingsPanel.tsx | src/components/print/ReturnRefundPrintModal.tsx,n,-,WIRED
POST,/api/print/settings/reset,server.ts:1651,,,src/components/print/PrintSettingsPanel.tsx,n,-,WIRED
GET,/api/print/order/:orderNumber,server.ts:1660,,,src/lib/documentEngine.tsx,n,-,WIRED
POST,/api/print/codes,server.ts:1684,,,src/components/print/PrintSettingsPanel.tsx | src/components/print/ReturnRefundPrintModal.tsx,n,-,WIRED
GET,/api/print/supplier-statement/:supplierId,server.ts:1697,,,src/components/print/PrintSupplierStatementModal.tsx | src/lib/documentEngine.tsx,n,-,WIRED
GET,/api/print/purchase-order/:poId,server.ts:1712,,,src/components/print/PurchaseDocumentPrintModal.tsx | src/lib/documentEngine.tsx,n,-,WIRED
GET,/api/suppliers/purchase-orders/all,server.ts:1722,supplierEngine,,src/admin/SuppliersAdmin.tsx,n,-,WIRED
GET,/api/print/return-refund/:returnId,server.ts:1731,,,src/lib/documentEngine.tsx,n,-,WIRED
GET,/api/print/report,server.ts:1741,,,src/lib/documentEngine.tsx,n,-,WIRED
POST,/api/print/bulk,server.ts:1754,,,NONE,n,-,ORPHAN(no client caller)
GET,/api/content,server.ts:1785,serverDb,getContent,src/context/AppContext.tsx,n,-,WIRED
PUT,/api/content,server.ts:1794,serverDb,updateContent,src/context/AppContext.tsx,n,-,WIRED
POST,/api/content/publish,server.ts:1811,serverDb,updateContent,src/context/AppContext.tsx,n,-,WIRED
GET,/api/content/revisions,server.ts:1828,serverDb,getContentRevisions,src/context/AppContext.tsx,n,-,WIRED
POST,/api/content/restore/:revisionId,server.ts:1837,serverDb,restoreContentRevision,src/context/AppContext.tsx,n,-,WIRED
POST,/api/content/upload-image,server.ts:1851,serverDb,addAuditLog,NONE,n,-,ORPHAN(no client caller)
GET,/api/admin/audit-logs,server.ts:1887,serverDb,auditLogs,NONE,n,-,ORPHAN(no client caller)
GET,/api/admin/backup/export,server.ts:1891,serverDb,siteContent auditLogs blacklists fraudSettings,NONE,n,-,ORPHAN(no client caller)
GET,/api/fraud/stats,server.ts:1911,fraudEngine,,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
GET,/api/fraud/blacklists,server.ts:1920,serverDb,blacklists,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
POST,/api/fraud/blacklists,server.ts:1928,serverDb,addBlacklistEntry,src/admin/FraudRiskDashboard.tsx,n,-,WIRED
